id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,False,True,False,True,41064.0,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,30.0,"[2, 14, 14, 0]",0.7141324877738953,1392.0,1411.0,158,Nebraska,fbs,Big Ten,22.0,"[0, 9, 7, 6]",0.28586751222610474,1503.0,1484.0,3.815672981765169,,,
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,False,True,False,False,26043.0,3660.0,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,45.0,"[7, 24, 7, 7]",0.9899201989173889,1465.0,1566.0,41,UConn,fbs,FBS Independents,0.0,"[0, 0, 0, 0]",0.010079801082611084,1223.0,1122.0,2.4612123467383187,,,
401329133,2021,1,regular,2021-08-28T19:00:00.000Z,False,True,True,True,,3861.0,Ohio Stadium,2119,Central State,ii,SIAC,6.0,"[0, 0, 0, 6]",,,,2310,Kentucky State,ii,SIAC,20.0,"[6, 7, 0, 7]",,,,,,,
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,False,True,False,False,32982.0,1056.0,Rose Bowl,26,UCLA,fbs,Pac-12,44.0,"[24, 7, 13, 0]",0.9941574335098267,1517.0,1605.0,62,Hawai'i,fbs,Mountain West,10.0,"[3, 0, 7, 0]",0.00584256649017334,1466.0,1378.0,2.6594396450205195,,,
401328337,2021,1,regular,2021-08-28T22:00:00.000Z,False,True,False,False,,3829.0,Memorial Stadium,282,Indiana State,fcs,MVFC,26.0,"[7, 3, 7, 9]",,,,2197,Eastern Illinois,fcs,OVC,21.0,"[0, 7, 7, 7]",,,,,,,
401327539,2021,1,regular,2021-08-28T23:00:00.000Z,False,True,True,False,,4246.0,Center Parc Stadium,2428,North Carolina Central,fcs,MEAC,23.0,"[0, 7, 6, 10]",,,,2016,Alcorn State,fcs,SWAC,14.0,"[7, 0, 7, 0]",,,,,,Cricket MEAC/SWAC Challenge,
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,False,True,False,False,19034.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,3.0,"[0, 3, 0, 0]",0.015330485999584198,1261.0,1182.0,2638,UTEP,fbs,Conference USA,30.0,"[17, 3, 10, 0]",0.9846695140004158,1222.0,1301.0,3.0678294831774076,,,
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,False,True,False,False,16204.0,3935.0,CEFCU Stadium,23,San José State,fbs,Mountain West,45.0,"[21, 17, 7, 0]",0.9844918251037598,,,253,Southern Utah,fcs,Big Sky,14.0,"[0, 14, 0, 0]",0.015508174896240234,,,2.251917913228514,,,
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,False,True,True,False,9122.0,3689.0,Cramton Bowl,55,Jacksonville State,fcs,AWC,0.0,"[0, 0, 0, 0]",0.007298274897038937,,,5,UAB,fbs,Conference USA,31.0,"[0, 10, 14, 7]",0.9927017251029611,,,3.2476810297848244,,Montgomery Kickoff,
401328204,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,False,True,,3788.0,Kenneth P. LaValle Stadium,2619,Stony Brook,fcs,CAA,21.0,"[0, 0, 14, 7]",,,,160,New Hampshire,fcs,CAA,27.0,"[6, 14, 7, 0]",,,,,,,
401328989,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,False,False,,3600.0,Tom Adams Field,131,Wayne State (MI),ii,GLIAC,21.0,"[6, 8, 7, 0]",,,,215,Slippery Rock,ii,Pennsylvania State Athletic,24.0,"[7, 3, 14, 0]",,,,,,,
401328215,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,False,False,,5781.0,Irwin Belk Stadium,351,Wingate,ii,South Atlantic,30.0,"[14, 7, 3, 6]",,,,2551,Shaw,ii,CIAA,7.0,"[0, 0, 0, 7]",,,,,,,
401332315,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3701.0,Drake Stadium,2181,Drake,fcs,Pioneer,45.0,"[21, 14, 10, 0]",,,,455,West Virginia Wesleyan,ii,Mountain East,3.0,"[0, 0, 0, 3]",,,,,,,
401328276,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,5870.0,Thone Stadium at Buerkle Field,2033,Arkansas Tech,ii,Great American,20.0,"[7, 0, 6, 7]",,,,199,Southeastern Oklahoma State,ii,Great American,38.0,"[7, 17, 7, 7]",,,,,,,
401357797,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,4417.0,Five Star Stadium at the Moye Complex,2382,Mercer,fcs,Southern,69.0,"[14, 28, 14, 13]",,,,3179,Point University,,,0.0,"[0, 0, 0, 0]",,,,,,,
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,43928.0,3652.0,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,36.0,"[0, 14, 14, 8]",0.6877216100692749,1648.0,1651.0,68,Boise State,fbs,Mountain West,31.0,"[14, 10, 0, 7]",0.3122783899307251,1602.0,1599.0,6.460374628113913,,,
401328458,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3925.0,Seibert Stadium,2535,Samford,fcs,Southern,52.0,"[14, 3, 21, 14]",,,,2635,Tennessee Tech,fcs,OVC,14.0,"[0, 7, 7, 0]",,,,,,,
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,16236.0,3654.0,Brooks Stadium (SC),324,Coastal Carolina,fbs,Sun Belt,52.0,"[7, 24, 14, 7]",0.9989646936333476,,,2643,The Citadel,fcs,Southern,14.0,"[0, 0, 7, 7]",0.0010353063666523887,,,1.189259394,,,
401328388,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,844.0,Stambaugh Stadium,2754,Youngstown State,fcs,MVFC,44.0,"[14, 10, 7, 10, 3]",,,,2916,Incarnate Word,fcs,Southland,41.0,"[7, 14, 13, 7, 0]",,,,,,,
401328175,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,3607.0,Alfond Stadium,311,Maine,fcs,CAA,24.0,"[0, 24, 0, 0]",,,,48,Delaware,fcs,CAA,34.0,"[7, 10, 10, 7]",,,,,,,
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,17521.0,3965.0,UB Stadium,2084,Buffalo,fbs,Mid-American,69.0,"[14, 24, 21, 10]",0.9983755574946217,,,2681,Wagner,fcs,NEC,7.0,"[0, 0, 0, 7]",0.0016244425053782985,,,1.0306190592,,,
401329491,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,3641.0,Blakeslee Stadium,2364,Minnesota State,ii,Northern Sun,40.0,"[7, 10, 0, 17, 6]",,,,425,Northern State,ii,Northern Sun,34.0,"[7, 10, 10, 7, 0]",,,,,,,
401328432,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,4763.0,Ranger Field,2823,Northwestern (OK),ii,Great American,13.0,"[3, 0, 3, 7]",,,,2568,Southern Arkansas,ii,Great American,32.0,"[6, 6, 7, 13]",,,,,,,
401329425,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,4431.0,Chryst Field at Biemesderfer Stadium,210,Millersville,ii,Pennsylvania State Athletic,9.0,"[2, 0, 0, 7]",,,,2022,American International,ii,Northeast 10,14.0,"[7, 7, 0, 0]",,,,,,,
401328973,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3747.0,Hantz Stadium,2886,Northwood,ii,GLIAC,21.0,"[3, 3, 0, 15, 0]",,,,367,Gannon,ii,Pennsylvania State Athletic,28.0,"[7, 0, 7, 7, 7]",,,,,,,
401334786,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6035.0,"Memorial Stadium (Wayne, NE)",2844,Wayne State (NE),ii,Northern Sun,34.0,"[10, 7, 10, 7]",,,,559,University of Mary,ii,Northern Sun,27.0,"[0, 0, 14, 13]",,,,,,,
401334787,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,5943.0,Duvall-Rosier Field,2986,Fairmont State,ii,Mountain East,14.0,"[0, 0, 14, 0]",,,,2858,California (PA),ii,Pennsylvania State Athletic,23.0,"[10, 3, 7, 3]",,,,,,,
401329357,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3870.0,Panther Stadium (OH),2477,Ohio Dominican,ii,Great Midwest Athletic,30.0,"[7, 3, 10, 10]",,,,2974,Shepherd,ii,Pennsylvania State Athletic,35.0,"[7, 7, 7, 14]",,,,,,,
401334756,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,5263.0,Steele Stadium,2316,Kentucky Wesleyan,ii,Great Midwest Athletic,13.0,"[0, 3, 3, 7]",,,,341,Frostburg State,ii,Mountain East,20.0,"[7, 6, 7, 0]",,,,,,,
401337471,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,5886.0,West Family Stadium,2699,West Liberty,ii,Mountain East,6.0,"[0, 0, 0, 6]",,,,2682,Walsh,ii,Great Midwest Athletic,27.0,"[3, 14, 3, 7]",,,,,,,
401309540,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,13149.0,3919.0,Scheumann Stadium,2050,Ball State,fbs,Mid-American,31.0,"[7, 0, 14, 10]",0.9390513896942139,,,2710,Western Illinois,fcs,MVFC,21.0,"[0, 7, 7, 7]",0.06094861030578613,,,4.79218047739303,,,
401329056,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3663.0,Burke-Tarr Stadium,2105,Carson Newman,ii,South Atlantic,7.0,"[7, 0, 0, 0]",,,,2698,West Georgia,ii,Gulf South,45.0,"[14, 14, 10, 7]",,,,,,,
401328466,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6065.0,Cliff Harris Stadium,2888,Ouachita Baptist,ii,Great American,38.0,"[14, 3, 7, 14]",,,,319,Oklahoma Baptist,ii,Great American,31.0,"[0, 16, 7, 8]",,,,,,,
401328605,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3749.0,Hunter Stadium,2815,Lindenwood,ii,Great Lakes Valley,20.0,"[7, 7, 0, 6]",,,,2025,Angelo State,ii,Lone Star,40.0,"[16, 7, 14, 3]",,,,,,,
401329443,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6045.0,Dwight T. Reed Stadium,2876,Lincoln (MO),ii,Mid America,12.0,"[6, 6, 0, 0]",,,,2687,Washburn,ii,Mid America,76.0,"[21, 17, 21, 17]",,,,,,,
401329689,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6030.0,Harms-Eischeid Stadium,389,Upper Iowa,ii,Northern Sun,14.0,"[0, 7, 0, 7]",,,,134,Minnesota Duluth,ii,Northern Sun,41.0,"[7, 27, 0, 7]",,,,,,,
401329015,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,5935.0,Parker Field at McCool Stadium,2170,Delta State,ii,Gulf South,48.0,[],,,,2064,Bethel University Tennessee,,,14.0,[],,,,,,,
401329503,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6070.0,Bob Young Field,2894,Sioux Falls,ii,Northern Sun,16.0,"[0, 0, 9, 7]",,,,132,Bemidji State,ii,Northern Sun,24.0,"[0, 10, 14, 0]",,,,,,,
401329270,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3859.0,Offutt Field,611,Seton Hill,ii,Pennsylvania State Athletic,16.0,"[0, 6, 10, 0]",,,,112335,Wheeling,ii,Mountain East,14.0,"[0, 7, 7, 0]",,,,,,,
401329651,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,6046.0,Meares Stadium,2369,Mars Hill,ii,South Atlantic,24.0,"[0, 7, 7, 10, 0]",,,,2804,Chowan,ii,CIAA,30.0,"[14, 3, 7, 0, 6]",,,,,,,
401328309,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,5871.0,Convoy Leslie Cotton Boll Stadium,2028,Arkansas Monticello,ii,Great American,30.0,"[7, 23, 0, 0]",,,,200,Southern Nazarene,ii,Great American,23.0,"[0, 7, 8, 8]",,,,,,,
401329020,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,6053.0,Robinson-Hale Stadium,2401,Mississippi College,ii,Gulf South,0.0,"[0, 0, 0, 0]",,,,2013,Albany State,ii,SIAC,24.0,"[7, 7, 3, 7]",,,,,,,
401328397,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6073.0,Milam Stadium,2927,Southwestern Oklahoma State,ii,Great American,13.0,"[0, 0, 13, 0]",,,,2271,Henderson State,ii,Great American,31.0,"[7, 7, 7, 10]",,,,,,,
