Season,Team,Conference,Games,Wins,Losses,WinPct,PPG,PAPG,PointDiff
2021,Georgia,SEC,14,13,1,0.929,37.36,10.43,26.93
2021,Louisiana,Sun Belt,13,12,1,0.923,31.38,18.08,13.31
2021,Cincinnati,American Athletic,13,12,1,0.923,36.46,17.62,18.85
2021,Alabama,SEC,14,12,2,0.857,39.29,20.57,18.71
2021,Michigan,Big Ten,14,12,2,0.857,35.79,17.36,18.43
2021,Ohio State,Big Ten,13,11,2,0.846,45.69,22.77,22.92
2021,San Diego State,Mountain West,13,11,2,0.846,25.77,19.69,6.08
2021,Baylor,Big 12,13,11,2,0.846,29.0,19.15,9.85
2021,Houston,American Athletic,13,11,2,0.846,35.15,22.0,13.15
2021,UTSA,Conference USA,13,11,2,0.846,35.54,26.54,9.0
2021,Oklahoma State,Big 12,13,11,2,0.846,31.69,18.23,13.46
2021,Notre Dame,FBS Independents,13,11,2,0.846,35.23,19.69,15.54
2021,Michigan State,Big Ten,12,10,2,0.833,31.0,26.25,4.75
2021,Oklahoma,Big 12,12,10,2,0.833,36.0,27.92,8.08
2021,Coastal Carolina,Sun Belt,12,10,2,0.833,40.0,22.25,17.75
2021,Pittsburgh,ACC,13,10,3,0.769,38.69,24.92,13.77
2021,Utah State,Mountain West,13,10,3,0.769,31.38,24.46,6.92
2021,Wake Forest,ACC,13,10,3,0.769,41.0,29.85,11.15
2021,Kentucky,SEC,12,9,3,0.75,32.67,21.58,11.08
2021,Ole Miss,SEC,12,9,3,0.75,32.0,25.33,6.67
2021,Air Force,Mountain West,12,9,3,0.75,30.67,20.25,10.42
2021,Clemson,ACC,12,9,3,0.75,24.42,15.83,8.58
2021,BYU,FBS Independents,12,9,3,0.75,30.92,25.67,5.25
2021,Fresno State,Mountain West,12,9,3,0.75,30.92,21.42,9.5
2021,NC State,ACC,11,8,3,0.727,32.0,20.82,11.18
2021,Iowa,Big Ten,14,10,4,0.714,23.43,19.21,4.21
2021,Purdue,Big Ten,13,9,4,0.692,29.08,22.38,6.69
2021,App State,Sun Belt,13,9,4,0.692,33.77,23.08,10.69
2021,Utah,Pac-12,13,9,4,0.692,35.85,23.0,12.85
2021,Minnesota,Big Ten,13,9,4,0.692,25.46,17.31,8.15
2021,Oregon,Pac-12,13,9,4,0.692,30.15,28.54,1.62
2021,Wisconsin,Big Ten,13,9,4,0.692,25.38,16.15,9.23
2021,Army,FBS Independents,12,8,4,0.667,30.33,23.33,7.0
2021,Arkansas,SEC,12,8,4,0.667,29.75,24.58,5.17
2021,UCLA,Pac-12,12,8,4,0.667,36.5,26.75,9.75
2021,UCF,American Athletic,12,8,4,0.667,29.33,25.42,3.92
2021,Central Michigan,Mid-American,12,8,4,0.667,31.25,27.92,3.33
2021,UAB,Conference USA,12,8,4,0.667,29.42,25.17,4.25
2021,SMU,American Athletic,11,7,4,0.636,36.82,30.18,6.64
2021,Texas A&M,SEC,11,7,4,0.636,27.27,17.09,10.18
2021,Northern Illinois,Mid-American,13,8,5,0.615,31.54,35.23,-3.69
2021,Georgia State,Sun Belt,13,8,5,0.615,28.15,27.08,1.08
