Team,Games,Wins,Losses,WinPct,PPG,PAPG,PointDiff
Michigan,15,15,0,1.0,35.87,10.4,25.47
Washington,15,14,1,0.933,36.0,24.8,11.2
Liberty,14,13,1,0.929,38.29,24.29,14.0
Georgia,13,12,1,0.923,39.54,16.31,23.23
Florida State,13,12,1,0.923,32.77,19.77,13.0
Texas,14,12,2,0.857,35.79,18.93,16.86
Oregon,13,11,2,0.846,41.38,17.23,24.15
Alabama,13,11,2,0.846,31.54,19.69,11.85
Missouri,12,10,2,0.833,32.33,21.75,10.58
James Madison,12,10,2,0.833,33.75,20.83,12.92
Ohio State,12,10,2,0.833,30.17,11.58,18.58
Ole Miss,12,10,2,0.833,31.92,23.83,8.08
Tulane,13,10,3,0.769,25.62,21.54,4.08
Troy,13,10,3,0.769,28.23,16.15,12.08
SMU,13,10,3,0.769,36.38,19.15,17.23
Toledo,13,10,3,0.769,29.31,21.62,7.69
Oklahoma,13,10,3,0.769,41.69,23.46,18.23
Miami (OH),13,10,3,0.769,22.85,15.62,7.23
Ohio,12,9,3,0.75,24.08,16.33,7.75
LSU,12,9,3,0.75,43.33,29.5,13.83
Memphis,12,9,3,0.75,38.0,30.0,8.0
Penn State,12,9,3,0.75,34.0,14.0,20.0
Notre Dame,12,9,3,0.75,37.75,17.0,20.75
Arizona,12,9,3,0.75,34.33,22.58,11.75
Iowa,14,10,4,0.714,15.43,14.79,0.64
Oklahoma State,13,9,4,0.692,29.77,29.77,0.0
UTSA,13,9,4,0.692,31.92,24.08,7.85
Louisville,13,9,4,0.692,28.77,22.92,5.85
West Virginia,12,8,4,0.667,29.42,26.92,2.5
NC State,12,8,4,0.667,24.67,21.92,2.75
Wyoming,12,8,4,0.667,24.83,22.75,2.08
Kansas,12,8,4,0.667,33.67,27.33,6.33
Tennessee,12,8,4,0.667,31.92,20.92,11.0
Jacksonville State,12,8,4,0.667,28.58,22.67,5.92
Clemson,12,8,4,0.667,26.83,21.42,5.42
Kansas State,12,8,4,0.667,36.42,22.75,13.67
Fresno State,12,8,4,0.667,30.17,22.83,7.33
Air Force,12,8,4,0.667,26.67,19.08,7.58
New Mexico State,14,9,5,0.643,25.29,22.93,2.36
USC,13,8,5,0.615,41.85,34.38,7.46
App State,13,8,5,0.615,32.31,27.23,5.08
UNLV,13,8,5,0.615,33.69,29.69,4.0
North Carolina,12,7,5,0.583,32.5,29.0,3.5
Northwestern,12,7,5,0.583,22.0,22.75,-0.75
Utah,12,7,5,0.583,22.5,20.33,2.17
Oregon State,12,7,5,0.583,29.92,24.25,5.67
UCLA,12,7,5,0.583,23.75,19.33,4.42
Northern Illinois,12,7,5,0.583,26.08,21.58,4.5
Western Kentucky,12,7,5,0.583,28.67,29.25,-0.58
Coastal Carolina,12,7,5,0.583,24.5,25.25,-0.75
Maryland,12,7,5,0.583,29.0,23.83,5.17
Duke,12,7,5,0.583,25.67,20.0,5.67
Texas State,12,7,5,0.583,33.33,32.75,0.58
Virginia Tech,13,7,6,0.538,29.54,23.92,5.62
Boise State,13,7,6,0.538,31.38,26.15,5.23
Wisconsin,13,7,6,0.538,23.46,20.15,3.31
Bowling Green,12,6,6,0.5,25.17,24.75,0.42
San José State,12,6,6,0.5,29.58,27.5,2.08
Iowa State,12,6,6,0.5,25.92,23.92,2.0
Boston College,12,6,6,0.5,24.33,28.33,-4.0
Georgia Tech,12,6,6,0.5,29.67,30.83,-1.17
Kentucky,12,6,6,0.5,29.17,26.58,2.58
Rutgers,12,6,6,0.5,20.83,22.75,-1.92
Georgia State,12,6,6,0.5,26.0,29.67,-3.67
Miami,12,6,6,0.5,30.08,24.08,6.0
Texas A&M,12,6,6,0.5,32.92,23.08,9.83
South Florida,12,6,6,0.5,31.42,32.92,-1.5
Texas Tech,12,6,6,0.5,26.25,27.92,-1.67
South Alabama,12,6,6,0.5,32.92,21.33,11.58
Minnesota,13,6,7,0.462,20.92,26.69,-5.77
Old Dominion,12,5,7,0.417,25.0,28.67,-3.67
Marshall,12,5,7,0.417,22.92,29.67,-6.75
Arkansas State,12,5,7,0.417,26.75,32.33,-5.58
Illinois,12,5,7,0.417,24.5,29.42,-4.92
Syracuse,12,5,7,0.417,20.08,27.5,-7.42
California,12,5,7,0.417,30.17,34.08,-3.92
Auburn,12,5,7,0.417,24.58,23.42,1.17
UCF,12,5,7,0.417,29.92,26.75,3.17
Utah State,12,5,7,0.417,29.42,35.25,-5.83
Eastern Michigan,12,5,7,0.417,18.42,27.0,-8.58
Louisiana,12,5,7,0.417,31.67,29.92,1.75
Nebraska,12,5,7,0.417,18.0,18.25,-0.25
Rice,12,5,7,0.417,27.08,29.83,-2.75
Georgia Southern,12,5,7,0.417,29.83,33.0,-3.17
Army,10,4,6,0.4,17.2,23.9,-6.7
Navy,11,4,7,0.364,17.09,24.45,-7.36
Central Michigan,11,4,7,0.364,21.18,30.09,-8.91
South Carolina,11,4,7,0.364,24.09,26.82,-2.73
Mississippi State,11,4,7,0.364,19.45,28.36,-8.91
Florida,11,4,7,0.364,26.55,29.45,-2.91
BYU,11,4,7,0.364,21.45,31.09,-9.64
Washington State,11,4,7,0.364,28.73,28.73,0.0
North Texas,11,4,7,0.364,33.55,37.64,-4.09
TCU,11,4,7,0.364,30.45,29.82,0.64
Colorado State,11,4,7,0.364,24.73,30.45,-5.73
Purdue,12,4,8,0.333,23.92,30.42,-6.5
Colorado,12,4,8,0.333,28.17,34.83,-6.67
Houston,12,4,8,0.333,23.67,31.5,-7.83
Hawai'i,12,4,8,0.333,20.58,33.25,-12.67
Michigan State,11,3,8,0.273,13.27,29.64,-16.36
Middle Tennessee,11,3,8,0.273,23.27,29.36,-6.09
Tulsa,11,3,8,0.273,21.73,36.27,-14.55
Buffalo,11,3,8,0.273,19.45,26.27,-6.82
Florida International,11,3,8,0.273,20.64,33.64,-13.0
Arkansas,11,3,8,0.273,23.91,29.27,-5.36
Western Michigan,11,3,8,0.273,22.64,33.09,-10.45
San Diego State,11,3,8,0.273,19.09,26.64,-7.55
UAB,11,3,8,0.273,29.45,39.73,-10.27
Ball State,11,3,8,0.273,15.82,26.0,-10.18
Wake Forest,11,3,8,0.273,18.73,28.09,-9.36
Florida Atlantic,11,3,8,0.273,22.09,26.0,-3.91
New Mexico,11,3,8,0.273,24.64,37.36,-12.73
Stanford,11,3,8,0.273,20.36,38.36,-18.0
Indiana,11,2,9,0.182,20.45,32.0,-11.55
UTEP,11,2,9,0.182,19.18,29.82,-10.64
Arizona State,11,2,9,0.182,17.18,32.82,-15.64
Louisiana Tech,11,2,9,0.182,23.64,34.55,-10.91
Massachusetts,11,2,9,0.182,22.45,39.36,-16.91
Charlotte,11,2,9,0.182,16.91,30.91,-14.0
Cincinnati,11,2,9,0.182,20.27,31.55,-11.27
Sam Houston,11,2,9,0.182,19.64,26.64,-7.0
Southern Miss,11,2,9,0.182,21.64,37.73,-16.09
Pittsburgh,11,2,9,0.182,17.91,29.18,-11.27
Nevada,11,2,9,0.182,18.36,33.45,-15.09
Baylor,11,2,9,0.182,22.45,35.73,-13.27
Virginia,11,2,9,0.182,22.91,35.64,-12.73
UConn,11,2,9,0.182,18.0,32.27,-14.27
Temple,11,2,9,0.182,19.27,38.09,-18.82
UL Monroe,11,1,10,0.091,16.73,36.82,-20.09
Akron,11,1,10,0.091,15.55,28.64,-13.09
East Carolina,11,1,10,0.091,14.91,24.45,-9.55
Vanderbilt,11,1,10,0.091,20.64,38.27,-17.64
Kent State,11,0,11,0.0,12.55,36.82,-24.27
