Team,Games,Wins,Losses,WinPct,PPG,PAPG,PointDiff
Montana Western,1,1,0,1.0,48.0,13.0,35.0
Ave Maria University,1,1,0,1.0,27.0,14.0,13.0
Concordia-Michigan,1,1,0,1.0,24.0,23.0,1.0
Southern Oregon,1,1,0,1.0,49.0,7.0,42.0
South Dakota State,15,15,0,1.0,37.33,9.27,28.07
Harding,15,15,0,1.0,46.87,10.87,36.0
Indiana Wesleyan,1,1,0,1.0,24.0,22.0,2.0
Dickinson State University,1,1,0,1.0,24.0,21.0,3.0
Michigan,15,15,0,1.0,35.87,10.4,25.47
Phoenix,1,1,0,1.0,49.0,25.0,24.0
Warner,1,1,0,1.0,29.0,23.0,6.0
Northwestern (IA),1,1,0,1.0,27.0,24.0,3.0
Montana Tech,1,1,0,1.0,37.0,29.0,8.0
Louisiana Christian,1,1,0,1.0,34.0,14.0,20.0
Washington,15,14,1,0.933,36.0,24.8,11.2
North Central College,15,14,1,0.933,58.6,17.07,41.53
SUNY Cortland,15,14,1,0.933,46.2,19.73,26.47
Colorado School of Mines,15,14,1,0.933,46.53,13.0,33.53
Wartburg,14,13,1,0.929,41.43,13.21,28.21
Florida State,14,13,1,0.929,34.57,19.29,15.29
Randolph Macon,14,13,1,0.929,45.43,15.21,30.21
Georgia,14,13,1,0.929,40.14,15.64,24.5
Liberty,14,13,1,0.929,38.29,24.29,14.0
Alma,13,12,1,0.923,46.85,19.92,26.92
Johns Hopkins,13,12,1,0.923,40.92,20.08,20.85
Florida A&M,13,12,1,0.923,30.62,15.15,15.46
Aurora,12,11,1,0.917,53.25,13.92,39.33
Tiffin,12,11,1,0.917,43.67,16.25,27.42
Benedict,12,11,1,0.917,40.25,10.67,29.58
Grove City,12,11,1,0.917,33.25,15.25,18.0
Mount Union,12,11,1,0.917,48.75,8.25,40.5
Whitworth,11,10,1,0.909,40.82,21.27,19.55
Susquehanna,11,10,1,0.909,39.27,13.64,25.64
DePauw,11,10,1,0.909,42.09,15.55,26.55
Carnegie Mellon,10,9,1,0.9,35.1,10.5,24.6
UMass Dartmouth,10,9,1,0.9,36.7,13.0,23.7
Muhlenberg,10,9,1,0.9,40.2,19.2,21.0
Berry,10,9,1,0.9,54.2,16.3,37.9
Middlebury,9,8,1,0.889,27.89,15.0,12.89
Linfield,9,8,1,0.889,41.78,16.22,25.56
Trinity (CT),9,8,1,0.889,44.33,12.78,31.56
Lenoir Rhyne,15,13,2,0.867,37.73,14.67,23.07
Montana,15,13,2,0.867,30.27,17.2,13.07
Oregon,14,12,2,0.857,44.21,16.5,27.71
Slippery Rock,14,12,2,0.857,40.93,22.36,18.57
Valdosta State,14,12,2,0.857,36.86,24.29,12.57
Alabama,14,12,2,0.857,34.0,19.0,15.0
Texas,14,12,2,0.857,35.79,18.93,16.86
Wisconsin La Crosse,13,11,2,0.846,39.31,23.23,16.08
Missouri,13,11,2,0.846,32.54,20.85,11.69
James Madison,13,11,2,0.846,34.08,19.46,14.62
Ole Miss,13,11,2,0.846,35.08,22.54,12.54
Grand Valley State,13,11,2,0.846,43.77,16.54,27.23
Augustana (SD),13,11,2,0.846,32.69,20.0,12.69
Ohio State,13,11,2,0.846,30.54,11.23,19.31
Wisconsin Whitewater,13,11,2,0.846,38.46,20.54,17.92
Central Missouri,13,11,2,0.846,49.38,26.85,22.54
Pittsburg State,13,11,2,0.846,33.85,16.69,17.15
Charleston (WV),12,10,2,0.833,44.0,23.92,20.08
Union,12,10,2,0.833,32.75,11.42,21.33
UT Permian Basin,12,10,2,0.833,42.42,17.25,25.17
Western Colorado,12,10,2,0.833,36.08,16.33,19.75
Virginia Union,12,10,2,0.833,35.5,13.83,21.67
Wheaton (IL),12,10,2,0.833,46.0,24.5,21.5
Delta State,12,10,2,0.833,42.92,18.83,24.08
Trinity (TX),12,10,2,0.833,42.67,17.0,25.67
Hardin Simmons,11,9,2,0.818,32.45,19.91,12.55
Springfield,11,9,2,0.818,35.55,15.55,20.0
Incarnate Word,11,9,2,0.818,30.64,17.73,12.91
Ouachita Baptist,11,9,2,0.818,39.82,20.18,19.64
Truman State,11,9,2,0.818,27.45,17.09,10.36
Delaware Valley,11,9,2,0.818,24.36,12.45,11.91
Mount St Joseph,11,9,2,0.818,55.36,23.45,31.91
Minnesota Duluth,11,9,2,0.818,37.73,18.64,19.09
Belhaven,11,9,2,0.818,35.82,16.36,19.45
Indianapolis,11,9,2,0.818,31.64,14.91,16.73
Southern Arkansas,11,9,2,0.818,38.18,24.09,14.09
Endicott,11,9,2,0.818,34.45,9.73,24.73
Coe,11,9,2,0.818,38.55,11.55,27.0
Illinois College,11,9,2,0.818,47.27,17.45,29.82
Augustana (IL),10,8,2,0.8,37.6,22.9,14.7
Harvard,10,8,2,0.8,31.8,20.2,11.6
Washington & Jefferson,10,8,2,0.8,38.6,18.6,20.0
Claremont Mudd Scripps,10,8,2,0.8,24.8,15.7,9.1
Washington and Lee,10,8,2,0.8,30.7,20.6,10.1
