id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
401520162,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,109480,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,30,"[7, 16, 7, 0]",0.9838669896125793,1916,1941,151,East Carolina,fbs,American Athletic,3,"[0, 0, 0, 3]",0.016133010387420654,1506,1481,1.9907809851504554,,,
401520202,2023,2,regular,2023-09-09T19:30:00.000Z,False,True,False,False,109482,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,35,"[7, 14, 14, 0]",0.9916186332702637,1941,1951,2439,UNLV,fbs,Mountain West,7,"[0, 0, 0, 7]",0.008381366729736328,1350,1340,2.108362012216072,,,
401520232,2023,3,regular,2023-09-16T23:30:00.000Z,False,True,False,False,109955,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,31,"[7, 7, 17, 0]",0.9785053730010986,1951,1944,189,Bowling Green,fbs,Mid-American,6,"[0, 6, 0, 0]",0.021494626998901367,1246,1253,2.8348395193114713,,,
401520260,2023,4,regular,2023-09-23T16:00:00.000Z,False,True,False,True,109756,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,31,"[7, 7, 10, 7]",0.9865456223487854,1944,1953,164,Rutgers,fbs,Big Ten,7,"[7, 0, 0, 0]",0.0134543776512146,1444,1435,2.878787663769023,,,
401520286,2023,5,regular,2023-09-30T19:30:00.000Z,False,True,False,True,87134,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,7,"[0, 0, 0, 7]",0.00673071201890707,1483,1432,130,Michigan,fbs,Big Ten,45,"[14, 14, 7, 10]",0.9932692879810929,1953,2004,2.376103760375073,,,
401520303,2023,6,regular,2023-10-07T23:30:00.000Z,False,True,False,True,52179,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,10,"[3, 7, 0, 0]",0.00038818725686502444,1649,1571,130,Michigan,fbs,Big Ten,52,"[10, 14, 21, 7]",0.9996118127431349,2004,2082,2.6349960001,,,
401520321,2023,7,regular,2023-10-14T16:00:00.000Z,False,True,False,True,110264,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,52,"[0, 21, 17, 14]",0.9902434945106506,2082,2123,84,Indiana,fbs,Big Ten,7,"[7, 0, 0, 0]",0.009756505489349365,1360,1319,2.8721755661931594,,,
401520340,2023,8,regular,2023-10-21T23:30:00.000Z,False,True,False,True,74206,3936,Spartan Stadium,127,Michigan State,fbs,Big Ten,0,"[0, 0, 0, 0]",0.0019051043782383204,1462,1401,130,Michigan,fbs,Big Ten,49,"[14, 14, 14, 7]",0.9980948956217617,2123,2184,4.317715638884165,,,
401520368,2023,10,regular,2023-11-04T23:30:00.000Z,False,True,False,True,110245,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,41,"[17, 3, 7, 14]",0.9668740630149841,2184,2180,2509,Purdue,fbs,Big Ten,13,"[0, 6, 0, 7]",0.03312593698501587,1444,1448,1.9840633555723588,,,
401520394,2023,11,regular,2023-11-11T17:00:00.000Z,False,True,False,True,110856,3632,Beaver Stadium,213,Penn State,fbs,Big Ten,15,"[3, 6, 0, 6]",0.04380204528570175,2039,2032,130,Michigan,fbs,Big Ten,24,"[0, 14, 3, 7]",0.9561979547142982,2180,2187,3.9989478945946364,,,
